datetime,open,high,low,close,volume
2026-06-01 09:15:00,23654.5,23733.7,23625.3,23631.45,7840691.0
2026-06-01 09:16:00,23636.0,23649.9,23614.5,23630.85,3943550.0
2026-06-01 09:17:00,23630.4,23645.0,23625.35,23640.5,2991376.0
2026-06-01 09:18:00,23638.95,23649.2,23634.0,23644.95,2738634.0
2026-06-01 09:19:00,23644.35,23653.4,23629.25,23633.0,2926663.0
2026-06-01 09:20:00,23633.4,23646.05,23627.2,23630.55,2713368.0
2026-06-01 09:21:00,23629.85,23632.8,23616.05,23631.2,2223568.0
2026-06-01 09:22:00,23630.35,23631.7,23608.75,23614.45,1571771.0
2026-06-01 09:23:00,23613.3,23618.6,23603.15,23606.45,1758451.0
2026-06-01 09:24:00,23606.55,23607.6,23588.55,23598.9,1506120.0
2026-06-01 09:25:00,23597.95,23612.4,23589.05,23590.15,2009764.0
2026-06-01 09:26:00,23590.3,23609.75,23590.3,23608.8,1590802.0
2026-06-01 09:27:00,23609.1,23610.85,23595.55,23598.55,1084793.0
2026-06-01 09:28:00,23598.65,23608.65,23597.8,23606.25,1199553.0
2026-06-01 09:29:00,23604.9,23608.05,23587.75,23592.95,1315921.0
2026-06-01 09:30:00,23591.95,23607.6,23587.7,23605.95,1396064.0
2026-06-01 09:31:00,23606.15,23615.95,23603.25,23604.65,1797595.0
2026-06-01 09:32:00,23604.8,23616.15,23600.25,23614.3,1472175.0
2026-06-01 09:33:00,23614.85,23618.7,23607.2,23607.2,1912181.0
2026-06-01 09:34:00,23607.45,23616.05,23606.55,23609.6,1832785.0
2026-06-01 09:35:00,23609.7,23611.0,23585.0,23587.0,2250795.0
2026-06-01 09:36:00,23585.9,23587.25,23569.4,23571.15,1450839.0
2026-06-01 09:37:00,23570.65,23582.45,23565.8,23577.4,1446390.0
2026-06-01 09:38:00,23576.65,23598.0,23576.55,23596.75,1382863.0
2026-06-01 09:39:00,23597.3,23611.1,23595.2,23608.75,1368859.0
2026-06-01 09:40:00,23608.4,23623.8,23608.3,23612.5,1175266.0
2026-06-01 09:41:00,23611.75,23617.85,23604.0,23605.0,1023433.0
2026-06-01 09:42:00,23604.2,23607.25,23592.8,23594.9,1114543.0
2026-06-01 09:43:00,23593.9,23598.15,23587.65,23592.95,1681051.0
2026-06-01 09:44:00,23592.6,23594.4,23572.35,23576.7,1672166.0
2026-06-01 09:45:00,23575.35,23592.1,23575.25,23592.1,1340802.0
2026-06-01 09:46:00,23590.75,23594.5,23582.85,23583.45,1224287.0
2026-06-01 09:47:00,23581.4,23584.3,23567.45,23571.85,1458866.0
2026-06-01 09:48:00,23570.7,23580.6,23570.7,23574.8,920701.0
2026-06-01 09:49:00,23573.9,23580.2,23567.7,23580.2,1126772.0
2026-06-01 09:50:00,23579.1,23595.4,23576.7,23579.9,1515350.0
2026-06-01 09:51:00,23580.25,23586.55,23573.75,23581.25,1525428.0
2026-06-01 09:52:00,23579.6,23581.75,23572.05,23572.55,1158934.0
2026-06-01 09:53:00,23573.05,23592.0,23573.05,23588.95,1186081.0
2026-06-01 09:54:00,23588.35,23591.1,23584.95,23585.55,981570.0
2026-06-01 09:55:00,23584.95,23588.8,23576.45,23578.15,831782.0
2026-06-01 09:56:00,23577.5,23579.35,23569.5,23570.7,1085017.0
2026-06-01 09:57:00,23570.05,23577.7,23561.7,23576.0,883182.0
2026-06-01 09:58:00,23575.4,23581.55,23566.3,23566.85,1078208.0
2026-06-01 09:59:00,23566.15,23574.5,23556.75,23561.8,1042210.0
2026-06-01 10:00:00,23561.05,23567.55,23561.05,23563.3,850344.0
2026-06-01 10:01:00,23562.35,23566.9,23553.85,23554.45,958409.0
2026-06-01 10:02:00,23555.1,23558.65,23552.3,23555.9,1029466.0
2026-06-01 10:03:00,23555.5,23557.5,23537.0,23537.65,1633247.0
2026-06-01 10:04:00,23537.55,23545.8,23537.55,23538.7,1265926.0
2026-06-01 10:05:00,23539.35,23547.95,23537.95,23541.85,884478.0
2026-06-01 10:06:00,23541.85,23554.05,23541.85,23551.2,1015044.0
2026-06-01 10:07:00,23550.65,23558.95,23549.8,23558.95,963195.0
2026-06-01 10:08:00,23558.6,23567.8,23556.0,23562.2,750048.0
2026-06-01 10:09:00,23561.6,23569.95,23556.05,23569.85,641926.0
2026-06-01 10:10:00,23569.25,23570.65,23560.2,23561.65,721679.0
2026-06-01 10:11:00,23560.8,23567.9,23553.35,23554.6,776104.0
2026-06-01 10:12:00,23555.1,23567.95,23555.1,23561.2,706541.0
2026-06-01 10:13:00,23559.4,23572.35,23559.3,23560.0,853751.0
2026-06-01 10:14:00,23560.0,23564.65,23553.15,23553.15,784518.0
2026-06-01 10:15:00,23552.7,23554.9,23539.05,23548.45,840965.0
2026-06-01 10:16:00,23547.95,23552.45,23545.65,23549.7,706937.0
2026-06-01 10:17:00,23549.1,23564.1,23549.1,23562.4,825539.0
2026-06-01 10:18:00,23561.45,23563.45,23556.85,23560.1,535885.0
2026-06-01 10:19:00,23559.55,23561.5,23549.7,23558.65,792739.0
2026-06-01 10:20:00,23558.15,23558.55,23552.15,23555.9,595318.0
2026-06-01 10:21:00,23555.3,23560.15,23553.7,23559.25,1324966.0
2026-06-01 10:22:00,23559.4,23565.75,23558.15,23565.25,964181.0
2026-06-01 10:23:00,23565.05,23566.4,23556.15,23559.75,902952.0
2026-06-01 10:24:00,23559.7,23562.15,23548.95,23549.6,1211090.0
2026-06-01 10:25:00,23549.15,23557.8,23549.15,23553.75,937347.0
2026-06-01 10:26:00,23553.5,23561.15,23551.6,23552.4,924367.0
2026-06-01 10:27:00,23551.4,23553.0,23536.8,23539.4,880705.0
2026-06-01 10:28:00,23538.85,23544.35,23537.8,23543.05,703435.0
2026-06-01 10:29:00,23542.55,23547.85,23539.85,23539.85,617547.0
2026-06-01 10:30:00,23539.35,23544.95,23535.1,23538.55,1000928.0
2026-06-01 10:31:00,23537.3,23539.8,23531.5,23536.95,720512.0
2026-06-01 10:32:00,23537.2,23550.2,23535.1,23535.4,642649.0
2026-06-01 10:33:00,23534.95,23539.55,23523.65,23524.3,664431.0
2026-06-01 10:34:00,23523.8,23532.5,23517.7,23530.0,835354.0
2026-06-01 10:35:00,23529.2,23533.25,23523.2,23525.85,586976.0
2026-06-01 10:36:00,23524.75,23533.25,23518.75,23530.35,879153.0
2026-06-01 10:37:00,23530.35,23534.4,23527.95,23534.4,428957.0
2026-06-01 10:38:00,23533.9,23553.95,23533.9,23546.35,861508.0
2026-06-01 10:39:00,23546.7,23547.3,23540.7,23543.05,488411.0
2026-06-01 10:40:00,23542.3,23547.75,23535.75,23539.35,637117.0
2026-06-01 10:41:00,23539.05,23547.6,23536.4,23546.45,601966.0
2026-06-01 10:42:00,23546.2,23552.6,23544.3,23551.4,683882.0
2026-06-01 10:43:00,23551.65,23555.15,23538.3,23542.95,4024294.0
2026-06-01 10:44:00,23542.35,23544.45,23538.0,23538.25,589724.0
2026-06-01 10:45:00,23538.2,23544.85,23537.0,23544.85,695781.0
2026-06-01 10:46:00,23544.3,23556.85,23544.3,23555.35,821779.0
2026-06-01 10:47:00,23554.25,23562.15,23554.25,23556.7,750820.0
2026-06-01 10:48:00,23556.8,23570.4,23555.9,23570.35,841080.0
2026-06-01 10:49:00,23570.15,23578.6,23568.8,23570.7,1430952.0
2026-06-01 10:50:00,23570.2,23574.05,23564.75,23571.15,957992.0
2026-06-01 10:51:00,23570.7,23580.1,23569.9,23580.1,757287.0
2026-06-01 10:52:00,23578.9,23588.75,23578.9,23588.7,730223.0
2026-06-01 10:53:00,23587.9,23592.2,23586.4,23590.9,706650.0
2026-06-01 10:54:00,23590.3,23593.85,23587.25,23593.65,698495.0
2026-06-01 10:55:00,23592.45,23595.75,23590.25,23595.05,636822.0
2026-06-01 10:56:00,23594.6,23597.2,23589.95,23592.1,833069.0
2026-06-01 10:57:00,23591.35,23594.3,23587.25,23587.25,795046.0
2026-06-01 10:58:00,23586.5,23589.9,23573.0,23574.65,850452.0
2026-06-01 10:59:00,23573.75,23576.6,23567.65,23569.75,548322.0
2026-06-01 11:00:00,23569.95,23587.3,23569.95,23584.95,679056.0
2026-06-01 11:01:00,23584.9,23596.2,23584.9,23592.85,661688.0
2026-06-01 11:02:00,23592.2,23595.15,23587.9,23590.2,595146.0
2026-06-01 11:03:00,23589.8,23591.45,23586.75,23589.2,706761.0
2026-06-01 11:04:00,23588.7,23594.6,23588.7,23593.25,574135.0
2026-06-01 11:05:00,23592.2,23595.2,23587.25,23587.25,674830.0
2026-06-01 11:06:00,23586.55,23591.75,23586.15,23590.1,524073.0
2026-06-01 11:07:00,23589.3,23594.7,23589.3,23594.4,467672.0
2026-06-01 11:08:00,23593.5,23597.1,23588.15,23595.65,542493.0
2026-06-01 11:09:00,23595.05,23613.4,23594.65,23610.05,686183.0
2026-06-01 11:10:00,23609.45,23615.5,23609.3,23609.7,746563.0
2026-06-01 11:11:00,23608.6,23610.65,23601.15,23602.85,1300781.0
2026-06-01 11:12:00,23602.35,23607.45,23602.1,23606.0,1369888.0
2026-06-01 11:13:00,23605.2,23610.9,23603.2,23603.65,1557348.0
2026-06-01 11:14:00,23603.7,23611.75,23603.05,23606.2,760332.0
2026-06-01 11:15:00,23605.4,23608.35,23601.45,23602.15,618796.0
2026-06-01 11:16:00,23601.8,23604.4,23597.45,23599.4,935136.0
2026-06-01 11:17:00,23599.55,23611.55,23599.0,23611.3,804245.0
2026-06-01 11:18:00,23611.1,23619.25,23605.45,23607.4,645758.0
2026-06-01 11:19:00,23607.85,23613.15,23605.1,23607.9,450749.0
2026-06-01 11:20:00,23607.05,23607.6,23599.15,23600.0,587972.0
2026-06-01 11:21:00,23598.95,23600.8,23592.6,23595.4,427914.0
2026-06-01 11:22:00,23594.55,23596.75,23587.6,23588.6,681682.0
2026-06-01 11:23:00,23588.65,23590.6,23585.55,23586.4,579231.0
2026-06-01 11:24:00,23585.55,23589.75,23580.85,23581.05,545899.0
2026-06-01 11:25:00,23580.3,23583.7,23580.3,23581.0,644469.0
2026-06-01 11:26:00,23579.9,23584.0,23574.8,23576.0,705343.0
2026-06-01 11:27:00,23574.85,23577.15,23571.5,23574.65,653702.0
2026-06-01 11:28:00,23573.85,23575.05,23569.5,23572.75,744759.0
2026-06-01 11:29:00,23572.0,23573.05,23558.45,23559.15,1196224.0
2026-06-01 11:30:00,23558.6,23561.85,23556.65,23559.25,1619467.0
2026-06-01 11:31:00,23558.95,23560.95,23556.5,23560.65,1107240.0
2026-06-01 11:32:00,23559.95,23561.4,23547.95,23549.35,931755.0
2026-06-01 11:33:00,23548.45,23549.75,23540.25,23541.55,1013811.0
2026-06-01 11:34:00,23540.7,23547.25,23539.0,23545.0,967604.0
2026-06-01 11:35:00,23544.85,23554.25,23542.85,23553.95,511886.0
2026-06-01 11:36:00,23553.2,23558.25,23545.85,23547.1,1314900.0
2026-06-01 11:37:00,23546.75,23556.6,23546.75,23556.6,819491.0
2026-06-01 11:38:00,23556.25,23570.1,23555.9,23568.5,829286.0
2026-06-01 11:39:00,23568.2,23569.2,23559.75,23567.5,914398.0
2026-06-01 11:40:00,23567.3,23568.75,23563.35,23564.0,648589.0
2026-06-01 11:41:00,23562.95,23565.6,23562.7,23564.9,360668.0
2026-06-01 11:42:00,23564.1,23567.85,23554.1,23555.3,856074.0
2026-06-01 11:43:00,23553.65,23558.05,23553.65,23555.6,662629.0
2026-06-01 11:44:00,23554.8,23556.55,23548.9,23550.0,495679.0
2026-06-01 11:45:00,23549.75,23551.05,23539.75,23540.35,849132.0
2026-06-01 11:46:00,23539.45,23543.95,23534.7,23543.75,666575.0
2026-06-01 11:47:00,23543.6,23549.65,23540.95,23549.65,594861.0
2026-06-01 11:48:00,23549.15,23552.55,23547.4,23550.95,539360.0
2026-06-01 11:49:00,23550.4,23555.8,23548.5,23554.35,392744.0
2026-06-01 11:50:00,23553.4,23561.15,23549.5,23559.85,448114.0
2026-06-01 11:51:00,23559.65,23562.2,23553.8,23555.25,598332.0
2026-06-01 11:52:00,23554.6,23559.15,23553.45,23557.8,714618.0
2026-06-01 11:53:00,23557.3,23560.3,23548.7,23550.45,493948.0
2026-06-01 11:54:00,23550.05,23556.9,23549.9,23554.75,461673.0
2026-06-01 11:55:00,23554.8,23555.2,23544.55,23548.9,589295.0
2026-06-01 11:56:00,23549.5,23551.15,23538.1,23538.1,878859.0
2026-06-01 11:57:00,23538.3,23539.7,23526.5,23527.85,579093.0
2026-06-01 11:58:00,23524.35,23525.35,23506.65,23507.05,811281.0
2026-06-01 11:59:00,23507.3,23509.65,23491.85,23493.75,1226517.0
2026-06-01 12:00:00,23493.65,23500.8,23489.2,23494.7,2192108.0
2026-06-01 12:01:00,23495.0,23497.45,23486.0,23493.0,818725.0
2026-06-01 12:02:00,23494.2,23504.1,23488.1,23503.9,783398.0
2026-06-01 12:03:00,23503.3,23504.9,23491.35,23496.8,568713.0
2026-06-01 12:04:00,23497.25,23502.4,23496.5,23499.25,1044629.0
2026-06-01 12:05:00,23498.3,23507.75,23498.3,23503.7,936322.0
2026-06-01 12:06:00,23502.25,23520.25,23498.3,23515.7,1134009.0
2026-06-01 12:07:00,23515.15,23518.0,23509.15,23509.15,648476.0
2026-06-01 12:08:00,23508.5,23516.1,23508.5,23511.55,700958.0
2026-06-01 12:09:00,23511.3,23511.8,23505.0,23506.05,969693.0
2026-06-01 12:10:00,23506.9,23508.9,23499.75,23504.8,872281.0
2026-06-01 12:11:00,23504.6,23511.15,23502.95,23504.55,874980.0
2026-06-01 12:12:00,23504.15,23512.65,23504.0,23512.0,659204.0
2026-06-01 12:13:00,23511.75,23524.85,23511.75,23523.65,984079.0
2026-06-01 12:14:00,23522.85,23533.35,23522.85,23530.0,943995.0
2026-06-01 12:15:00,23529.35,23530.15,23519.35,23523.0,663039.0
2026-06-01 12:16:00,23522.55,23528.45,23521.75,23521.75,684810.0
2026-06-01 12:17:00,23521.7,23523.85,23514.65,23517.25,799149.0
2026-06-01 12:18:00,23516.35,23531.2,23515.9,23529.75,674454.0
2026-06-01 12:19:00,23529.5,23533.15,23528.15,23528.75,588195.0
2026-06-01 12:20:00,23527.85,23528.9,23515.9,23516.1,853649.0
2026-06-01 12:21:00,23515.95,23517.6,23510.65,23514.45,833477.0
2026-06-01 12:22:00,23514.8,23530.85,23514.4,23524.1,531857.0
2026-06-01 12:23:00,23524.5,23526.2,23518.0,23518.0,688224.0
2026-06-01 12:24:00,23517.55,23519.35,23514.9,23518.85,575830.0
2026-06-01 12:25:00,23518.1,23520.95,23516.65,23516.75,442445.0
2026-06-01 12:26:00,23517.35,23525.4,23515.6,23523.35,524842.0
2026-06-01 12:27:00,23522.85,23524.15,23519.05,23519.5,1181255.0
2026-06-01 12:28:00,23518.85,23521.2,23515.1,23515.35,410044.0
2026-06-01 12:29:00,23514.45,23519.35,23514.45,23516.95,455785.0
2026-06-01 12:30:00,23516.4,23522.7,23514.65,23518.75,831239.0
2026-06-01 12:31:00,23518.55,23520.15,23515.7,23518.7,359897.0
2026-06-01 12:32:00,23518.6,23520.2,23511.05,23512.55,520728.0
2026-06-01 12:33:00,23512.6,23514.1,23509.1,23511.85,493711.0
2026-06-01 12:34:00,23510.5,23516.8,23510.45,23513.4,471464.0
2026-06-01 12:35:00,23512.95,23521.3,23511.1,23518.55,424362.0
2026-06-01 12:36:00,23518.45,23524.95,23518.45,23521.2,652436.0
2026-06-01 12:37:00,23520.85,23521.3,23516.75,23518.7,398324.0
2026-06-01 12:38:00,23518.15,23526.0,23517.2,23517.75,682405.0
