datetime,open,high,low,close,volume
2026-06-12 09:15:00,23412.55,23455.45,23405.0,23425.4,6360609.0
2026-06-12 09:16:00,23427.65,23445.4,23426.0,23442.35,3560546.0
2026-06-12 09:17:00,23445.0,23455.95,23432.6,23449.4,2711977.0
2026-06-12 09:18:00,23450.8,23453.95,23434.5,23440.95,2180704.0
2026-06-12 09:19:00,23440.9,23446.0,23433.3,23444.65,1866967.0
2026-06-12 09:20:00,23447.05,23451.9,23436.85,23438.7,2017086.0
2026-06-12 09:21:00,23441.2,23442.65,23431.8,23437.0,1813675.0
2026-06-12 09:22:00,23439.0,23444.95,23426.15,23428.6,1509809.0
2026-06-12 09:23:00,23431.2,23438.1,23429.7,23431.15,1768417.0
2026-06-12 09:24:00,23432.7,23432.7,23423.0,23423.35,1456370.0
2026-06-12 09:25:00,23423.8,23431.55,23416.5,23416.55,1573173.0
2026-06-12 09:26:00,23418.8,23418.8,23410.8,23414.05,1418833.0
2026-06-12 09:27:00,23415.6,23417.6,23408.15,23417.6,1092619.0
2026-06-12 09:28:00,23420.15,23421.1,23406.3,23409.0,1077499.0
2026-06-12 09:29:00,23410.4,23410.4,23400.55,23401.2,1379674.0
2026-06-12 09:30:00,23402.85,23410.15,23402.85,23408.2,1503541.0
2026-06-12 09:31:00,23410.15,23410.15,23385.65,23402.0,1510048.0
2026-06-12 09:32:00,23403.4,23403.4,23394.75,23395.3,1101058.0
2026-06-12 09:33:00,23396.55,23397.8,23390.8,23395.25,964305.0
2026-06-12 09:34:00,23397.45,23408.75,23396.25,23407.95,1385453.0
2026-06-12 09:35:00,23409.35,23410.65,23398.7,23401.65,996070.0
2026-06-12 09:36:00,23402.65,23402.65,23388.3,23389.4,966403.0
2026-06-12 09:37:00,23392.4,23401.15,23392.35,23399.1,994714.0
2026-06-12 09:38:00,23400.2,23405.55,23397.1,23403.25,1629290.0
2026-06-12 09:39:00,23404.1,23405.5,23396.1,23396.1,1209151.0
2026-06-12 09:40:00,23396.9,23397.7,23387.15,23390.95,1153920.0
2026-06-12 09:41:00,23393.0,23394.8,23378.15,23379.85,1110854.0
2026-06-12 09:42:00,23380.5,23381.45,23374.1,23375.35,773176.0
2026-06-12 09:43:00,23375.8,23378.1,23364.25,23366.9,1031782.0
2026-06-12 09:44:00,23368.85,23375.45,23367.15,23370.1,701535.0
2026-06-12 09:45:00,23370.6,23378.35,23367.35,23369.65,588690.0
2026-06-12 09:46:00,23371.25,23371.25,23357.05,23366.0,766618.0
2026-06-12 09:47:00,23368.75,23375.05,23366.6,23372.4,925779.0
2026-06-12 09:48:00,23372.95,23373.5,23365.0,23373.3,550596.0
2026-06-12 09:49:00,23374.4,23379.85,23372.9,23379.35,422821.0
2026-06-12 09:50:00,23380.75,23380.75,23375.1,23378.8,523967.0
2026-06-12 09:51:00,23379.45,23380.25,23375.05,23376.9,621449.0
2026-06-12 09:52:00,23377.75,23379.55,23373.9,23376.15,726772.0
2026-06-12 09:53:00,23376.75,23376.75,23367.5,23367.5,707912.0
2026-06-12 09:54:00,23368.65,23368.65,23355.25,23358.15,791503.0
2026-06-12 09:55:00,23361.45,23361.45,23353.6,23355.65,718466.0
2026-06-12 09:56:00,23356.95,23361.3,23355.3,23356.6,922586.0
2026-06-12 09:57:00,23357.3,23358.5,23352.45,23356.25,1100336.0
2026-06-12 09:58:00,23358.25,23359.3,23352.2,23352.2,967302.0
2026-06-12 09:59:00,23353.55,23356.25,23345.95,23346.55,984934.0
2026-06-12 10:00:00,23348.7,23349.85,23341.8,23343.85,890952.0
2026-06-12 10:01:00,23345.85,23346.25,23338.75,23340.7,564750.0
2026-06-12 10:02:00,23343.05,23344.1,23337.75,23342.5,1142360.0
2026-06-12 10:03:00,23342.75,23344.15,23335.65,23335.7,819768.0
2026-06-12 10:04:00,23337.9,23342.95,23327.65,23342.55,1113311.0
2026-06-12 10:05:00,23343.4,23356.6,23341.1,23355.5,876675.0
2026-06-12 10:06:00,23356.1,23359.15,23353.05,23357.5,1258626.0
2026-06-12 10:07:00,23358.05,23358.05,23345.95,23348.45,753198.0
2026-06-12 10:08:00,23349.6,23352.05,23345.85,23350.9,855682.0
2026-06-12 10:09:00,23351.75,23351.75,23346.75,23347.55,639858.0
2026-06-12 10:10:00,23349.05,23349.7,23341.4,23342.55,478386.0
2026-06-12 10:11:00,23344.15,23344.15,23339.4,23342.7,484658.0
2026-06-12 10:12:00,23344.65,23353.6,23342.15,23346.2,787499.0
2026-06-12 10:13:00,23347.85,23348.05,23341.6,23345.45,656562.0
2026-06-12 10:14:00,23346.95,23349.0,23341.55,23342.65,496607.0
2026-06-12 10:15:00,23345.15,23349.1,23343.35,23343.8,598918.0
2026-06-12 10:16:00,23345.5,23345.95,23333.85,23333.85,787969.0
2026-06-12 10:17:00,23336.65,23336.65,23327.75,23330.95,582050.0
2026-06-12 10:18:00,23333.0,23333.7,23324.85,23327.4,566642.0
